,label_1st,label_2nd,label_3rd,scores_1st,scores_2nd,scores_3rd
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00008_00021.png,Bypass_on_left,Bypass_on_right,Roundabout,0.14488178491592407,0.08754032850265503,0.08395900577306747
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00018_00023.png,Bypass_on_left,Bypass_on_right,Curve_left,0.1550961583852768,0.11493804305791855,0.07534342259168625
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00001_00001.png,End_maximum_speed_80,End_of_no_passing_zone,End_of_no_passing_zone_for_trucks,0.0839349627494812,0.05606042221188545,0.05321399122476578
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00006_00015.png,Curve_left,Roundabout,General_danger,0.0858767032623291,0.06546701490879059,0.062365010380744934
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00016_00008.png,Watch_for_children,Curve_left,Bypass_on_left,0.19323019683361053,0.05354154109954834,0.04787802696228027
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00022_00001.png,Maximum_speed_20,Maximum_speed_60,Maximum_speed_70,0.05412919446825981,0.04945864900946617,0.049405477941036224
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00011_00024.png,Uneven_road_surface,Bypass_on_left,Curve_left,0.10122420638799667,0.07551123946905136,0.07272878289222717
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00018_00022.png,Bypass_on_left,Bypass_on_right,Uneven_road_surface,0.1769372820854187,0.11252954602241516,0.08970063924789429
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00004_00016.png,Bypass_on_left,Turn_right_ahead,General_danger,0.06265945732593536,0.05296995863318443,0.0451245978474617
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00006_00011.png,Watch_for_children,Curve_left,General_danger,0.08683036267757416,0.06193909794092178,0.057601045817136765
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00001_00009.png,Curve_left,Curve_right,Maximum_speed_70,0.049067288637161255,0.04495099186897278,0.04406474903225899
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00008_00007.png,Bypass_on_left,Bypass_on_right,Turn_right_ahead,0.12374047189950943,0.08026185631752014,0.06956851482391357
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00002_00009.png,Curve_right,Curve_left,Maximum_speed_20,0.06458287686109543,0.06188501790165901,0.059681568294763565
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00012_00008.png,Curve_left,Watch_for_children,Curve_right,0.06456127762794495,0.05497060716152191,0.05333424359560013
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00016_00013.png,Curve_left,Watch_for_children,Curve_right,0.09089193493127823,0.08794204145669937,0.056338753551244736
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00001_00021.png,Heavy_Vehicles_prohibited,Curve_right,Bypass_on_left,0.05677754431962967,0.045549437403678894,0.04364625737071037
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00009_00012.png,Bypass_on_left,Bypass_on_right,Roundabout,0.16558578610420227,0.10168885439634323,0.07079635560512543
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00001_00011.png,Watch_for_children,End_maximum_speed_80,General_danger,0.0669880136847496,0.05815703049302101,0.05796975642442703
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00012_00026.png,Curve_left,Curve_right,End_of_no_passing_zone,0.10423177480697632,0.08752737194299698,0.0506758987903595
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00018_00017.png,Bypass_on_left,Turn_left_ahead,Uneven_road_surface,0.11023543775081635,0.09352883696556091,0.0847189649939537
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00013_00004.png,Bypass_on_left,Turn_left_ahead,Roundabout,0.1236954927444458,0.08253644406795502,0.08134522289037704
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00017_00002.png,Curve_left,Curve_right,Double_curve,0.08885996043682098,0.08250384032726288,0.04419448971748352
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00015_00026.png,Bypass_on_left,Bypass_on_right,Uneven_road_surface,0.17269910871982574,0.10546500235795975,0.09996698051691055
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00007_00005.png,Bypass_on_left,Bypass_on_right,Curve_right,0.12386441975831985,0.08514855057001114,0.07387625426054001
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00004_00010.png,Bypass_on_left,Turn_right_ahead,General_danger,0.06009852513670921,0.05119647830724716,0.050491753965616226
/home/seba/Desktop/scripts/python-work/computer-vision/unsupervised-ml/data/train/33/00033_00010_00028.png,Bypass_on_left,Watch_for_children,Road_narrows,0.10298322141170502,0.07114836573600769,0.05483028292655945
